Fall 2021-2022(202210),13013,URPL,663B,1,Thesis,6,0,EA,2,4,0800,0850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Fall 2021-2022(202210),13014,URPL,663C,1,Thesis,6,0,EA,0,6,0800,0850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Fall 2021-2022(202210),13015,URPL,663D,1,Thesis,6,1,EA,1,5,0800,0850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Spring 2021-2022(202220),22830,URDS,602,1,Urban &Landscape Design Stud.,6,6,EA,2,10,1400,1800,.,.,M,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),22831,URDS,603,1,Comprehensive Exam,0,0,EA,1,9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sirene,Salam,,,
Spring 2021-2022(202220),22832,URDS,604,1,Urban Design Thesis,6,6,EA,1,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22833,URDS,604A,1,Design Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22834,URDS,604B,1,Design Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22835,URDS,604C,1,Design Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22836,URPL,622,1,Istanbul:Imperial toMetropolis,3,3,EA,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),22837,URPL,630,1,Research Methods,3,3,EA,1,11,1100,1350,.,.,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Spring 2021-2022(202220),22838,URPL,633,1,Urbanism,3,3,EA,4,8,0930,1050,.,.,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),22839,URPL,660,1,City Debates Seminar,0,0,EA,8,16,1800,1930,.,.,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Harb,,,
Spring 2021-2022(202220),22840,URPL,662,1,Comprehensive Exam,0,0,EA,0,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22841,URPL,663,1,Planning Thesis,6,6,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22842,URPL,663A,1,Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22843,URPL,663B,1,Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22844,URPL,663C,1,Thesis,6,0,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
Spring 2021-2022(202220),22845,URPL,663D,1,Thesis,6,1,EA,0,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Mona,Fawaz,,,
