Fall 2021-2022(202210),11790,HIST,399A,6,M.A.Thesis,9,0,AS,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lyall,Armstrong,,,
Fall 2021-2022(202210),11791,HIST,399B,1,M.A.Thesis,9,0,AS,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,George,Saliba,,,
Fall 2021-2022(202210),11792,HIST,399B,2,M.A.Thesis,9,0,AS,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Abdulrahim,Abu-Husayn,,,
Fall 2021-2022(202210),11794,HIST,399B,4,M.A.Thesis,9,0,AS,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lyall,Armstrong,,,
Fall 2021-2022(202210),13079,HIST,399B,5,M.A.Thesis,9,0,AS,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Bilal,Orfali,,,
Fall 2021-2022(202210),11795,HIST,481,1,Qualif.Exam II:Def.ThesisProp,0,0,AS,0,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Helene,Sader,,,
Fall 2021-2022(202210),13232,HIST,484,1,PhD Thesis,30,30,AS,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Ilham,Khuri-Makdisi,,,
Fall 2021-2022(202210),11797,HIST,484,2,PhD Thesis,30,30,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Abdulrahim,Abu-Husayn,,,
Fall 2021-2022(202210),11798,HIST,484,3,PhD Thesis,30,30,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Alexis Norman,Wick,,,
Fall 2021-2022(202210),11799,HIST,484B,2,PhD Thesis,30,0,AS,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Alexis Norman,Wick,,,
Fall 2021-2022(202210),13382,HIST,484F,1,PhD Thesis,30,1,AS,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lyall,Armstrong,,,
Fall 2021-2022(202210),11800,HMPD,204,1,Intr.Health Services Administr,3,3,HS,11,9,1400,1515,VANDYK,201,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Aline,Germani,,,
Fall 2021-2022(202210),11801,HMPD,204,2,Intr.Health Services Administr,3,3,HS,27,-7,1400,1515,VANDYK,203,.,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Nasser,Yassin,,,
