Fall 2021-2022(202210),13277,LDEM,298A,1,Sp.Tp:Landscape Architecture,1,1,AG,1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Beata,Dreksler,,,
Fall 2021-2022(202210),13278,LDEM,298C,1,S.Tp:in Landscape Architecture,3,3,AG,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Beata,Dreksler,,,
Fall 2021-2022(202210),11889,LDEM,301,1,Urban Greening,3,3,AG,8,7,1100,1215,.,.,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Salma,Talhouk,,,
Spring 2021-2022(202220),21753,LABM,202,1,Clinical Chemistry II,3,3,FM,29,7,1000,1115,VANDYK,101,M,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Rose,Daher,,,
Spring 2021-2022(202220),21754,LABM,210,1,Cytology & Histological Techn.,2,2,FM,29,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21755,LABM,220,1,Clin.Chem.& Endocrinology,4,4,FM,5,5,0800,1100,VANDYK,201,.,.,.,R,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Rose,Daher,,,
Spring 2021-2022(202220),21756,LABM,230,1,Clin.Hematology and Reception,4,4,FM,8,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21757,LABM,231,1,Clin.Laborat.Quality Systems,1,1,FM,20,5,1300,1350,VANDYK,103,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rose,Daher,,,
Spring 2021-2022(202220),21758,LABM,240,1,Clinical Microbiology,4,4,FM,3,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21759,LABM,250,1,Clin.Parasitology & Urinalysis,2,2,FM,6,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,George,Araj,,,
Spring 2021-2022(202220),21760,LABM,260,1,Serology,2,2,FM,2,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21761,LABM,270,1,Blood Banking,2,2,FM,5,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21762,LABM,280,1,Cytogenet.Molec.Diagn.&Histote,2,2,FM,6,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rami,Mahfouz,,,
Spring 2021-2022(202220),21763,LDEM,201,1,Landscape Descriptive Drawing,4,4,AG,1,19,0900,1255,REYNOL,108,.,T,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Noura,Badran,,,
