Fall 2021-2022(202210),11914,MATH,201,E22,Calculus & Analytical Geom.III,0,0,AS,27,-4,1200,1250,NICELY,214,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Zahi,Fawaz,11929,,
Fall 2021-2022(202210),11915,MATH,201,E23,Calculus & Analytical Geom.III,0,0,AS,25,-3,1500,1550,BLISS,105,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hagop,Karakazian,11929,,
Fall 2021-2022(202210),11916,MATH,201,E24,Calculus & Analytical Geom.III,0,0,AS,25,-2,1700,1750,NICELY,214,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Hagop,Karakazian,11929,,
Fall 2021-2022(202210),11917,MATH,201,E3,Calculus & Analytical Geom.III,0,0,AS,24,-2,1100,1150,NICELY,320,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Zahi,Fawaz,11924,,
Fall 2021-2022(202210),11918,MATH,201,E4,Calculus & Analytical Geom.III,0,0,AS,24,-1,1400,1450,BLISS,205,.,.,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Zahi,Fawaz,11924,,
Fall 2021-2022(202210),11919,MATH,201,E5,Calculus & Analytical Geom.III,0,0,AS,22,0,1530,1620,PHYS,329,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rana,Nassif,11925,,
Fall 2021-2022(202210),11920,MATH,201,E6,Calculus & Analytical Geom.III,0,0,AS,29,-6,1230,1320,NICELY,412,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rana,Nassif,11925,,
Fall 2021-2022(202210),11921,MATH,201,E7,Calculus & Analytical Geom.III,0,0,AS,24,-2,1400,1450,BLISS,205,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rana,Nassif,11925,,
Fall 2021-2022(202210),11922,MATH,201,E8,Calculus & Analytical Geom.III,0,0,AS,24,-1,1700,1750,BLISS,105,.,T,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Rana,Nassif,11925,,
Fall 2021-2022(202210),11923,MATH,201,E9,Calculus & Analytical Geom.III,0,0,AS,29,-7,1500,1550,NICELY,214,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Lina,Rahhal,11926,,
Fall 2021-2022(202210),11924,MATH,201,L1,Calculus & Analytical Geom.III,3,3,AS,100,-10,1100,1150,NICELY,415,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Giuseppe,Della Sala,11900, or 11911, or 11917, or 11918,,
Fall 2021-2022(202210),11925,MATH,201,L2,Calculus & Analytical Geom.III,3,3,AS,100,-10,1200,1250,BLISS,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Ahmad A,Sabra,11919, or 11920, or 11921, or 11922,,
Fall 2021-2022(202210),11926,MATH,201,L3,Calculus & Analytical Geom.III,3,3,AS,101,-11,1400,1450,BLISS,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Hassan,Yamani,11901, or 11902, or 11903, or 11923,,
Fall 2021-2022(202210),11927,MATH,201,L4,Calculus & Analytical Geom.III,3,3,AS,99,-9,0900,0950,NICELY,415,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Wissam,Raji,11904, or 11905, or 11906, or 11907,,
Fall 2021-2022(202210),11928,MATH,201,L5,Calculus & Analytical Geom.III,3,3,AS,96,-6,1300,1350,BLISS,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Rafael Benedikt,Andrist,11908, or 11909, or 11910, or 11912,,
Fall 2021-2022(202210),11929,MATH,201,L6,Calculus & Analytical Geom.III,3,3,AS,100,-10,1000,1050,BLISS,203,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Bassam,Shayya,11913, or 11914, or 11915, or 11916,,
Fall 2021-2022(202210),13017,MATH,201,L7,Calculus & Analytical Geom.III,3,3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,Online,
Fall 2021-2022(202210),11930,MATH,202,E1,Differential Equations,0,0,AS,16,6,1400,1450,NICELY,210,.,.,.,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Rana,Nassif,11935,,
