Fall 2021-2022(202210),10029,AGSC,201,1,Orientat.to Agr.& Food Systems,2,2,AG,31,-6,1200,1250,AGRIC,203,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Lina,Jaber,,,
Fall 2021-2022(202210),10030,AGSC,204,1,Natural Scien. for Agribusin.,3,3,AG,20,-5,0900,0950,AGRIC,310,.,T,.,R,.,.,.,1400,1659,AGRIB,503,.,.,W,.,.,.,.,Hana,Sobh,,,
Fall 2021-2022(202210),10031,AGSC,205,1,The Food Odyssey,3,3,AG,50,-20,1230,1345,AGRIC,102,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Shady,Hamadeh,,,
Fall 2021-2022(202210),10032,AGSC,207,1,Land and Water Resources,3,3,AG,18,7,1000,1050,AGRIC,325,.,T,.,R,.,.,.,1400,1700,.,.,.,T,.,.,.,.,.,Sandra,Yanni,,,
Fall 2021-2022(202210),10033,AGSC,212,1,Microecono.Th.of Food& Farming,3,3,AG,32,-12,1100,1150,AGRIC,205,M,.,W,.,.,.,.,1700,1750,AGRIC,203,M,.,.,.,.,.,.,Ali,Chalak,,,
Fall 2021-2022(202210),13237,AGSC,212,2,Microecono.Th.of Food& Farming,3,3,AG,10,0,1100,1150,.,.,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,Youssef,Doughan,,,
Fall 2021-2022(202210),10034,AGSC,219,1,Apiculture,3,3,AG,10,2,1300,1350,AGRIC,203,.,T,.,R,.,.,.,1400,1659,AGRIC,HBL,.,T,.,.,.,.,.,Rami,Ollaik,,,
Fall 2021-2022(202210),10035,AGSC,220,1,Principles of Plant Physiology,3,3,AG,25,-5,1000,1050,.,.,M,.,W,.,.,.,.,1400,1659,.,.,M,.,.,.,.,.,.,Walid,El Kayal,,,
Fall 2021-2022(202210),10036,AGSC,230,1,Crop Systems,3,3,AG,29,1,1000,1115,AGRIC,203,.,.,.,.,F,.,.,1300,1415,AGRIC,203,.,.,.,.,F,.,.,Mustapha,Haidar,,,
Fall 2021-2022(202210),10037,AGSC,233,1,Plant Health I,3,3,AG,25,0,1100,1150,AGRIC,211,.,T,.,R,.,.,.,1400,1658,AGRIB,509,.,T,.,.,.,.,.,Youssef,Abou Jawdeh,,,
