Fall 2021-2022(202210),11856,INFO,200,5,Foundations of Informat.Syst.,3,3,SB,30,3,1400,1515,OSB,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Wissam,Sammouri,,,
Fall 2021-2022(202210),11857,INFO,200,6,Foundations of Informat.Syst.,3,3,SB,31,2,1530,1645,OSB,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Harry,Halpin,,,
Fall 2021-2022(202210),13044,INFO,200,7,Foundations of Informat.Syst.,3,3,SB,28,5,1400,1515,OSB,206,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Walid,El Khazen,,,
Fall 2021-2022(202210),11858,INFO,226,1,Syst.Develop.& Database Design,3,3,SB,19,6,1100,1215,OSB,334,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Randa,Salamoun,,,
Fall 2021-2022(202210),11859,INFO,227,1,Social Media in Digital Managm,3,3,SB,9,-1,1400,1515,OSB,236,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Leila,Khauli Hanna,,,
Fall 2021-2022(202210),11860,INFO,235,1,Introduct. to AI for Business,3,3,SB,29,1,1700,1815,OSB,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Walid,El Khazen,,,
Fall 2021-2022(202210),13053,INFO,250K,1,Int.to Blockchain for Business,3,3,SB,32,-7,1230,1345,OSB,207,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Harry,Halpin,,,
Fall 2021-2022(202210),13171,INFP,300,1,MBA Integrative Foundat.Period,0,0,SB,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall 2021-2022(202210),13172,INFP,300,9,MBA Integrative Foundat.Period,0,0,SB,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall 2021-2022(202210),13181,ISLM,300,1,Grad.Sem.in Qur'anic Studies,3,3,AS,2,3,1530,1759,NICELY,101,M,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Radwan,El Sayed Ahmad,,,
Fall 2021-2022(202210),13170,ISLM,303,1,Seminar in Islamic Ethics,3,3,AS,1,4,1530,1645,BLISS,206,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Bashshar,Haydar,,,
Fall 2021-2022(202210),11863,ISLM,304,1,Sociology of Islam,3,3,AS,6,4,1400,1629,NICELY,412,.,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi,,,
Fall 2021-2022(202210),13160,ISLM,325,1,Graduate Seminar in Sufism,3,3,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Fall 2021-2022(202210),13473,ISLM,395A,1,Islamic Stud. Compr.Exam,0,0,AS,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi,,,
Fall 2021-2022(202210),11864,ISLM,399A,1,MA in Islamic Studies Thesis,6,0,AS,1,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Sari,Hanafi,,,
Spring 2021-2022(202220),21718,IDTH,308,0,Neuroscience,6,6,FM,0,50,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Elie,Al-Chaer,,,
Spring 2021-2022(202220),21719,INDE,301,1,Engineering Economy,3,3,EA,43,2,1100,1150,BECHTA,204,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21720,INDE,301,2,Engineering Economy,3,3,EA,12,33,1100,1215,BECHTA,204,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21721,INDE,301,3,Engineering Economy,3,3,EA,5,40,0800,0915,BECHTA,211,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21722,INDE,301,4,Engineering Economy,3,3,EA,12,33,0800,0850,BECHTA,111,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21723,INDE,301,5,Engineering Economy,3,3,EA,2,43,0900,0950,BECHTA,111,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21724,INDE,301,6,Engineering Economy,3,3,EA,20,25,0800,0850,BECHTA,212,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21725,INDE,303,1,Operations Research II,3,3,EA,45,0,0930,1045,BECHTA,204,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Maher,Nouiehed,,,
Spring 2021-2022(202220),21726,INDE,320,1,Work Measurement &Methods Eng,3,3,EA,47,3,1601,1729,BECHTA,204,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Nadine Marie,Moacdieh,,,
Spring 2021-2022(202220),21727,INDE,402,1,Facility Plann.&Material Handl,3,3,EA,42,8,1731,1859,BECHTA,211,M,.,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21728,INDE,410,1,Engineering Ethics,3,3,EA,19,26,0900,0950,BECHTA,212,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21729,INDE,410,2,Engineering Ethics,3,3,EA,13,32,0800,0850,BECHTA,204,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21730,INDE,410,3,Engineering Ethics,3,3,EA,36,9,0930,1045,BECHTA,211,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21731,INDE,410,4,Engineering Ethics,3,3,EA,45,0,0800,0915,BECHTA,204,.,T,.,R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
Spring 2021-2022(202220),21732,INDE,410,5,Engineering Ethics,3,3,EA,26,19,0800,0850,BECHTA,211,M,.,W,.,F,.,.,.,.,.,.,.,.,.,.,.,.,.,.,STAFF,,,
